Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1,Name,Option1,Value,Option2,Name,Option2,Value,Option3,Name,Option3,Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text
coopvama-sh4374,COOPVAMA (SH4374),"Tangy citrus with dark chocolate, sweet cherry and raisins, creamy and juicy.",,Bean,"tangy,creamy,chocolate,citrus,cherry,dark,juicy,raisins,sweet",,,,,,,,,,,,,,SH4374,10000,,13,deny,manual,110,,true,true,,,
prodecoop-sh4756,Prodecoop (SH4756),Roasted almonds in the fragrance with milk chocolate toffee and nougat flavors,,Bean,"roasted,fragrance,chocolate,flavors,almonds,milk,nougat,toffee",,,,,,,,,,,,,,SH4756,10000,,131,deny,manual,110,,true,true,,,
sidama-union-sh4837, Fero (SH4837),Smokey dark chocolate with bright berries. Juicy and tangy orange peel.,,Bean,"juicy,smokey,chocolate,bright,berries,dark,orange,peel,tangy",,,,,,,,,,,,,,SH4837,10000,,12,deny,manual,110,,true,true,,,
las-lajas-sh4847," Lavado, Finca la Mirella (SH4847)","Complex,  nutty chocolate, citrus acidity, clean, balanced,  sweet",,Bean,"complex,citrus,balanced,chocolate,acidity,clean,nutty,sweet",,,,,,,,,,,,,,SH4847,10000,,69,deny,manual,110,,true,true,,,
chirinos-sh4868,Chirinos (SH4868),"Stone fruit, citrusy sweet and tangy. Green sugar cane",,Bean,"green,stone,fruit,citrusy,cane,sugar,sweet,tangy",,,,,,,,,,,,,,SH4868,10000,,6,deny,manual,110,,true,true,,,
yirgacheffe-union-sh4904, Yirgacheffe­-2 (SH4904),"",,Bean,"",,,,,,,,,,,,,,SH4904,10000,,30,deny,manual,110,,true,true,,,
mzuzu-sh4996, AA Select Lot (SH4996),"Sweet Chocolate, caramel Oranges, with notes of apricots, plums and raisins ",,Bean,"chocolate,oranges,sweet,caramel,apricots,notes,plums,raisins",,,,,,,,,,,,,,SH4996,10000,,1794,deny,manual,110,,true,true,,,
granja-la-esperanza-sh5031, Geisha Cerro Azul (SH5031),"Sweet, Berry, Floral, Caramel, Raisins, Tangerine all silky, soft and balanced",,Bean,"berry,caramel,floral,raisins,tangerine,sweet,balanced,silky,soft",,,,,,,,,,,,,,SH5031,10000,,17,deny,manual,110,,true,true,,,
granja-la-esperanza-sh5032, Geisha Cerro Azul AAA (SH5032),"Sweet berry, tea rose, bright, creamy and clean. ",,Bean,"sweet,clean,bright,berry,creamy,rose,tea",,,,,,,,,,,,,,SH5032,10000,,7,deny,manual,110,,true,true,,,
granja-la-esperanza-sh5033, Apecafeq (SH5033),"Tangy tangerine, sweet, juicy and complex with hints of berries and cocoa",,Bean,"tangy,hints,cocoa,complex,berries,juicy,sweet,tangerine",,,,,,,,,,,,,,SH5033,10000,,91,deny,manual,110,,true,true,,,
cbc-sh5037, Buremera (SH5037),"Lemon honey, sweet floral, bright, delicate with berries and peaches. ",,Bean,"lemon,floral,bright,delicate,berries,honey,peaches,sweet",,,,,,,,,,,,,,SH5037,10000,,534,deny,manual,110,,true,true,,,
granja-la-esperanza-sh5048, Geisha Cerro Azul AAA (SH5048),"",,Bean,"",,,,,,,,,,,,,,SH5048,10000,,3,deny,manual,110,,true,true,,,
guayab-sh5050, Jacaltenango SHB (SH5050),"Blackberry, tamarind and dark chocolate with a marked lemon acidity.",,Bean,"blackberry,dark,chocolate,acidity,lemon,marked,tamarind",,,,,,,,,,,,,,SH5050,10000,,1117,deny,manual,110,,true,true,,,
san-juan-rio-coco-decaf-sh5076,"San Juan Rio Coco, Decaf (SH5076)","",,Bean,"",,,,,,,,,,,,,,SH5076,10000,,0,deny,manual,110,,true,true,,,
san-juan-rio-coco-decaf-sh5077,"San Juan Rio Coco, Decaf (SH5077)","",,Bean,"",,,,,,,,,,,,,,SH5077,10000,,0,deny,manual,110,,true,true,,,
aprovat-sh5107, Lote Especial - Santuario Nacional Tabaconas Namballe (SH5107),"Raisin, orange peel and spice compliment a clean acidity with a medium body.",,Bean,"raisin,compliment,body,clean,acidity,medium,orange,peel,spice",,,,,,,,,,,,,,SH5107,10000,,400,deny,manual,110,,true,true,,,
chirinos-sh5129,Chirinos (SH5129),"Fresh sugar cane and citrus  fragrance with hints of orange and peach, very sweet",,Bean,"fresh,hints,citrus,fragrance,cane,orange,peach,sugar,sweet",,,,,,,,,,,,,,SH5129,10000,,34,deny,manual,110,,true,true,,,
chirinos-sh5137,Chirinos (SH5137),"Tangy green apple, citrusy, with hints of stone fruit. Very chocolatey.",,Bean,"tangy,fruit,chocolatey,citrusy,apple,green,hints,stone",,,,,,,,,,,,,,SH5137,10000,,82,deny,manual,110,,true,true,,,
chirinos-sh5138,Chirinos (SH5138),"Citrusy, green lime with bright fruit and wild berry. Sweet Caramel.",,Bean,"caramel,citrusy,sweet,bright,berry,fruit,green,lime,wild",,,,,,,,,,,,,,SH5138,10000,,103,deny,manual,110,,true,true,,,
caferwa-sh5144, Buliza Select Lot (SH5144),"",,Bean,"",,,,,,,,,,,,,,SH5144,10000,,600,deny,manual,110,,true,true,,,
caferwa-sh5145, Cyebumba Select Lot (SH5145),"",,Bean,"",,,,,,,,,,,,,,SH5145,10000,,600,deny,manual,110,,true,true,,,
granja-la-esperanza-sh5174, Guatica La Cristalina (SH5174),"Caramel, Plum, Chocolate, Red Berries with citric acidity and balanced, creamy body. Winey, Raisins.",,Bean,"berries,caramel,chocolate,plum,raisins,red,winey,acidity,balanced,body,citric,creamy",,,,,,,,,,,,,,SH5174,10000,,119,deny,manual,110,,true,true,,,
granja-la-esperanza-sh5176, Las Margaritas Pacamara (SH5176),"Sweet Herbal-Caramel notes, Tangerine, Grapefruit, Spices.",,Bean,"caramel,grapefruit,herbal,tangerine,sweet,spices,notes",,,,,,,,,,,,,,SH5176,10000,,17,deny,manual,110,,true,true,,,
granja-la-esperanza-sh5224, Red Bourbon Honey (SH5224),"Sweet and complex, Continued to develop as it cooled, Sugars browning/molasses",,Bean,"continued,sugars,sweet,complex,browning,cooled,develop,molasses",,,,,,,,,,,,,,SH5224,10000,,70,deny,manual,110,,true,true,,,
ocamonte-santander-sh5242, Finca La Pradera (SH5242),"Plum raisin, caramel, juicy, creamy body and very balanced",,Bean,"plum,caramel,body,balanced,creamy,juicy,raisin",,,,,,,,,,,,,,SH5242,10000,,1750,deny,manual,110,,true,true,,,
las-lajas-sh5307, Honey (SH5307),"",,Bean,"",,,,,,,,,,,,,,SH5307,10000,,138,deny,manual,110,,true,true,,,
afaorca-sh5326, SHB primera EP - Bobos (SH5326),"",,Bean,"",,,,,,,,,,,,,,SH5326,10000,,41,deny,manual,110,,true,true,,,
sidama-union-sh5330, Wotona Bultuma Co-op | (SCFCU) |  Grade-2 (SH5330),"Grapefruit citrus, bergamot, floral and spice. Clean, bright, citric.",,Bean,"clean,grapefruit,citric,bright,bergamot,citrus,floral,spice",,,,,,,,,,,,,,SH5330,10000,,1920,deny,manual,110,,true,true,,,
sidama-union-sh5332, Wotona Bultuma Co-op | (SCFCU)  (SH5332),"",,Bean,"",,,,,,,,,,,,,,SH5332,10000,,1914,deny,manual,110,,true,true,,,
ngila-sh5369, Special Reserve (SH5369),"",,Bean,"",,,,,,,,,,,,,,SH5369,10000,,498,deny,manual,110,,true,true,,,
sidama-union-sh5378,  Homacho Waeno Co-op | (SCFCU) | Washed Sidama Grade-2  (SH5378),"Rose tea and earl gray with sweet clean peach, apricot and white grape. Balanced, soft and juicy! ",,Bean,"balanced,rose,gray,clean,earl,grape,apricot,juicy,peach,soft,sweet,tea,white",,,,,,,,,,,,,,SH5378,10000,,1914,deny,manual,110,,true,true,,,
afaorca-sh5379, Lote Roberto (SH5379),"",,Bean,"",,,,,,,,,,,,,,SH5379,10000,,138,deny,manual,110,,true,true,,,
